Run;DropRate;Utilization;AverageResponseTime
1;0.098694;0.691109;6.649310
2;0.098446;0.698566;6.646525
3;0.102278;0.712248;6.748414
4;0.100077;0.699004;6.720899
5;0.105004;0.711202;6.760309
6;0.101639;0.694399;6.691941
7;0.098243;0.696752;6.672773
8;0.101167;0.708853;6.717566
9;0.096683;0.704394;6.687789
10;0.105238;0.716323;6.762391
11;0.096728;0.689821;6.723676
12;0.106680;0.714846;6.754822
13;0.098391;0.703646;6.690838
14;0.100290;0.696807;6.677745
15;0.098294;0.694950;6.682529
16;0.105484;0.716134;6.720085
17;0.100058;0.701612;6.676508
18;0.103236;0.703632;6.708027
19;0.098826;0.700887;6.715760
20;0.101789;0.694760;6.652909
21;0.100638;0.699733;6.716540
22;0.103270;0.704283;6.687010
23;0.109097;0.702095;6.741715
24;0.104979;0.700652;6.690591
25;0.098787;0.704072;6.711918
26;0.100213;0.707519;6.696730
27;0.103200;0.702905;6.692854
28;0.101306;0.706223;6.709502
29;0.103159;0.709005;6.723090
30;0.100909;0.704998;6.707679
31;0.099540;0.697801;6.666831
32;0.103684;0.702574;6.723936
33;0.104662;0.718733;6.753073
34;0.100786;0.699223;6.722225
35;0.100367;0.704664;6.722937
36;0.100867;0.702270;6.649936
37;0.097850;0.703970;6.686294
38;0.104375;0.710915;6.750536
39;0.104910;0.711752;6.734791
40;0.101799;0.708038;6.728607
41;0.103286;0.700883;6.727976
42;0.102091;0.702978;6.692725
43;0.105500;0.702113;6.672918
44;0.104186;0.703049;6.714902
45;0.101102;0.707422;6.706864
46;0.104574;0.709396;6.734878
47;0.098835;0.700540;6.701195
48;0.099730;0.703530;6.711255
49;0.104470;0.704975;6.724342
50;0.095424;0.694241;6.680689
51;0.096821;0.703306;6.671530
52;0.095973;0.698191;6.666576
53;0.105268;0.696108;6.676163
54;0.103439;0.702796;6.673659
55;0.109224;0.708201;6.739169
56;0.095797;0.687139;6.636593
57;0.098047;0.694051;6.652685
58;0.110814;0.709744;6.718109
59;0.102732;0.703966;6.690701
60;0.099982;0.695790;6.723622
61;0.097876;0.700120;6.647593
62;0.104862;0.699665;6.668511
63;0.097053;0.702904;6.677938
64;0.102135;0.698417;6.650328
65;0.096684;0.704830;6.702427
