Run;DropRate;Utilization;AverageResponseTime
1;3.64;74.49;8.06s
2;3.52;73.51;7.99s
3;3.66;74.38;8.09s
4;3.84;74.94;8.18s
5;3.63;74.24;8.03s
6;3.42;74.49;8.07s
7;3.43;74.00;7.99s
8;3.83;74.22;8.07s
9;3.77;74.87;8.18s
10;3.84;74.51;8.17s
11;3.57;74.83;8.15s
12;3.68;74.81;8.11s
13;3.72;74.33;8.04s
14;3.70;74.13;8.03s
15;3.71;75.10;8.11s
16;3.69;74.66;8.15s
17;3.91;74.49;8.12s
18;3.96;74.81;8.16s
19;3.56;74.52;8.05s
20;3.55;73.75;8.05s
21;3.61;74.79;8.14s
22;3.69;74.54;8.08s
23;3.27;73.37;7.92s
24;3.90;74.76;8.15s
25;3.42;74.51;8.07s
26;3.43;74.55;8.10s
27;4.22;74.71;8.20s
28;3.96;74.71;8.15s
29;3.56;74.77;8.08s
30;3.53;73.95;8.03s
31;3.55;74.74;8.14s
32;3.78;74.61;8.11s
33;3.73;74.44;8.09s
34;3.67;73.78;8.00s
35;3.74;74.59;8.13s
36;3.66;73.90;8.05s
37;3.45;73.96;8.04s
38;3.61;74.47;8.06s
39;3.48;74.78;8.12s
40;3.73;74.47;8.12s
41;3.59;74.20;8.09s
Total;3.66;74.43;8.09s
