Run;DropRate;Utilization;AverageResponseTime
1;0.037460;0.417528;6.737077
2;0.038399;0.425610;6.714014
3;0.036185;0.426477;6.725012
4;0.038638;0.418891;6.753071
5;0.037522;0.425274;6.708257
6;0.039257;0.419536;6.690884
7;0.034827;0.412247;6.642769
8;0.038272;0.425788;6.726160
9;0.036242;0.424263;6.682678
10;0.039553;0.428588;6.717733
11;0.036469;0.420508;6.692589
12;0.037680;0.429009;6.732724
13;0.036127;0.421034;6.708224
14;0.037553;0.429309;6.722743
15;0.038837;0.430245;6.733870
16;0.034921;0.417143;6.664762
17;0.037892;0.421547;6.685489
18;0.034597;0.419180;6.692194
19;0.039210;0.432666;6.768712
20;0.033429;0.412881;6.661984
21;0.037808;0.414866;6.667266
22;0.035149;0.414316;6.702879
23;0.038760;0.426690;6.716710
24;0.037039;0.428868;6.722104
